Camera Deployment Name,Latitude,Longitude,Duration,American Beaver,American Black Bear,American Mink,American Red Squirrel,Animal Not On List,Bicycle,Blue Jay,Bobcat,Calibration Photos,Camera Misfire,Camera Trapper,Cotton Rat,Coyote,Crow or Raven,Domestic Cat,Domestic Cow,Domestic Dog,Domestic Horse,Eastern Chipmunk,Eastern Cottontail,Eastern Fox Squirrel,Eastern Gray Squirrel,Eastern Spotted Skunk,Eastern Woodrat,Fisher,Flying Squirrel species,Gray Fox,"Human, non staff",Long-tailed Weasel,No Animal,Northern Bobwhite,Northern Flying Squirrel,Northern Raccoon,Red Fox,River Otter,Ruffed Grouse,Southern Flying Squirrel,Striped Skunk,Time Lapse,Turkey Vulture,Unknown Animal,Unknown Bird,Unknown Canine,Unknown Carnivore,Unknown Feline,Unknown Fox,Unknown mouse or rat,Unknown Owl,Unknown Squirrel,Unknown Weasel,Vehicle,Virginia Opossum,White-tailed Deer,Wild Boar,Wild Turkey,Woodchuck
Mason Neck 30B,38.6477,-77.16113,22.08263889,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Mason Neck 30C,38.64858,-77.15532,22.07569444,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
Mason Neck 31A,38.64573,-77.15168,25.85902778,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
Mason Neck 31B,38.64533,-77.15258,25.83958333,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,16,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0
Mason Neck 31C,38.64408,-77.15295,25.82916667,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
Mason Neck 32A,38.63062,-77.19368,18.13888889,0,0,0,0,0,0,0,0,1,0,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,1,0,0,6,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,11,0,11,0
Mason Neck 32B,38.63024,-77.19384,18.13263889,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0
Mason Neck 32C,38.62955,-77.19537,18.12777778,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0
Mason Neck 40A,38.64468,-77.18082,18.07013889,0,0,0,0,0,541,0,0,0,0,0,0,14,0,0,0,32,0,0,0,0,2,0,0,0,0,0,984,0,1,0,0,0,15,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,1,3,0,0,0
Mason Neck 40B,38.64423,-77.18082,20.98263889,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
